trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,0,-142.38801240685945,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9965988047720977}",25,0,-63.28804555889141,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9964740739761475}",25,0,-140.6551630962343,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9963471011139512}",25,0,-137.16256272490864,"{0: 9, 1: 5, 2: 10, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-155.90157999975978,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.99608643033862}",25,0,-108.87198454629797,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-62.90671681065142,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9958167947921394}",30,13,-54.03675821902791,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-59.2083558900465,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9955381969012274}",20,0,-137.8598777178289,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-100.7059259639489,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9952506391732631}",25,0,-140.24775310973368,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9951035011759926}",20,10,-20.075591864183725,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.9949541241962642}",20,0,-110.46091209566039,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.994802508570176}",25,0,-105.16965905519014,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9946486546388634}",20,0,-106.1801940272586,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9944925627484974}",20,0,-31.15538341721919,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9943342332502848}",20,0,-156.00044630326187,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-143.47445829413013,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9940108628603187}",20,0,-43.95406890491223,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9938458226961485}",20,0,-70.03340977730198,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9936785463792964}",25,0,-121.5241113365742,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9935090342861344}",25,0,-103.6705372758139,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9933372867980641}",30,0,-156.84481163439764,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9931633043015177}",20,0,-143.76139470569993,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9929870871879556}",35,0,-148.3406020132728,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-184.79693531460447,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.992627950700765}",25,11,-27.994245728795896,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.9924450321351935}",30,0,-175.52458882178792,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9922598805687185}",30,0,-207.52065982380844,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9920724964179307}",20,0,-80.18477841705112,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9918828801044445}",25,0,-57.372068917776,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9916910320548965}",20,0,-196.6124320906318,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9914969527009447}",20,0,-127.84127011442277,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9913006424792677}",25,0,-128.47481310679365,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
